id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
15010,6,CAM001,207,0.8,14055,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:58.690938,356.0,149.0,309.0,324.0
15009,6,CAM001,207,0.761364758014679,14050,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:57.641354,345.0,146.0,327.0,326.0
15008,6,CAM001,207,0.7108600735664368,14045,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:56.611239,329.0,146.0,361.0,326.0
15007,6,CAM001,207,0.8508629202842712,14040,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:55.553018,257.0,173.0,396.0,306.0
15006,6,CAM001,207,0.8560786843299866,14035,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:54.471316,256.0,190.0,386.0,290.0
15005,6,CAM001,207,0.8829038143157959,14030,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:53.414251,252.0,189.0,389.0,291.0
15004,6,CAM001,207,0.8732156157493591,14025,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:52.360592,228.0,179.0,410.0,300.0
15003,6,CAM001,207,0.8797933459281921,14020,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:51.350845,220.0,174.0,419.0,306.0
15002,6,CAM001,207,0.8828827738761902,14015,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:50.310652,227.0,185.0,405.0,295.0
15001,6,CAM001,207,0.9056894779205322,14010,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:49.310608,228.0,182.0,408.0,298.0
15000,6,CAM001,207,0.8635280728340149,14005,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:48.277891,225.0,179.0,419.0,301.0
14999,6,CAM001,207,0.8569204211235046,14000,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:47.223062,239.0,192.0,405.0,287.0
14998,6,CAM001,207,0.8498513102531433,13995,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:46.183291,245.0,195.0,405.0,283.0
14997,6,CAM001,207,0.8636019825935364,13990,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:45.137572,242.0,209.0,388.0,270.0
14996,6,CAM001,207,0.8693151473999023,13985,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:44.058915,232.0,198.0,402.0,281.0
14995,6,CAM001,207,0.8831101059913635,13980,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:43.030310,248.0,205.0,398.0,274.0
14994,6,CAM001,207,0.8579634428024292,13975,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:42.040328,259.0,231.0,359.0,249.0
14993,6,CAM001,207,0.8174196481704712,13970,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:41.020213,280.0,225.0,343.0,253.0
14992,6,CAM001,207,0.8204901814460754,13965,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:39.977294,250.0,200.0,354.0,280.0
14991,6,CAM001,207,0.8556941151618958,13960,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:38.898937,259.0,183.0,349.0,297.0
14990,6,CAM001,207,0.8630395531654358,13955,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:37.818705,270.0,172.0,339.0,307.0
14989,6,CAM001,207,0.7947481274604797,13950,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:36.769979,266.0,142.0,347.0,337.0
14988,6,CAM001,207,0.8585099577903748,13945,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:35.704306,323.0,158.0,304.0,321.0
14987,6,CAM001,207,0.861160397529602,13940,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:34.664523,292.0,131.0,319.0,348.0
14986,6,CAM001,207,0.917415201663971,13935,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:33.668429,331.0,134.0,298.0,345.0
14985,6,CAM001,207,0.8950828313827515,13930,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:32.611216,346.0,148.0,272.0,330.0
14984,6,CAM001,207,0.8786442279815674,13925,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:31.565637,351.0,132.0,255.0,347.0
14983,6,CAM001,207,0.8193873167037964,13920,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:30.555799,325.0,127.0,237.0,352.0
14982,6,CAM001,206,0.8,13915,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:29.582881,33.0,151.0,535.0,329.0
14981,6,CAM001,206,0.8428705930709839,13910,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:28.577241,132.0,184.0,520.0,296.0
14980,6,CAM001,206,0.840707004070282,13905,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:27.582396,196.0,242.0,429.0,238.0
14979,6,CAM001,206,0.8707314133644104,13900,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:26.528502,170.0,227.0,446.0,253.0
14978,6,CAM001,205,0.8,13890,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:35:24.627963,380.0,273.0,205.0,206.0
